Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,User_Score
Assassin's Creed Syndicate,XOne,2015,Action,Ubisoft,1.3,78.0,6.1
Pokemon Ranger: Guardian Signs,DS,2010,Role-Playing,Nintendo,1.29,68.0,8.2
LEGO Batman: The Videogame,PS3,2008,Action,Warner Bros. Interactive Entertainment,1.29,75.0,7.7
Crysis 2,PS3,2011,Action,Electronic Arts,1.29,85.0,7.2
Pirates of the Caribbean: The Curse of the Black Pearl,GBA,2003,Platform,TDK Mediactive,1.29,49.0,6.2
Namco Museum DS,DS,2007,Misc,Atari,1.29,67.0,5.9
Deal or No Deal,Wii,2009,Misc,Zoo Games,1.29,56.0,5.0
Transformers,PS2,2004,Shooter,Atari,1.29,75.0,8.6
Dying Light,XOne,2015,Action,Warner Bros. Interactive Entertainment,1.29,74.0,7.8
Fallout 4,PC,2015,Role-Playing,Bethesda Softworks,1.29,84.0,5.4
Sonic Colors,DS,2010,Platform,Sega,1.29,79.0,7.9
Assassin's Creed: Rogue,PS3,2014,Action,Ubisoft,1.29,72.0,7.5
EA Playground,Wii,2007,Sports,Electronic Arts,1.29,66.0,7.6
The Elder Scrolls Online,XOne,2015,Role-Playing,Bethesda Softworks,1.28,77.0,8.4
Champions of Norrath,PS2,2004,Role-Playing,Sony Online Entertainment,1.28,85.0,8.4
Manhunt,PS2,2003,Action,Take-Two Interactive,1.28,76.0,8.3
Need for Speed Carbon,Wii,2006,Racing,Electronic Arts,1.28,67.0,7.3
Silent Hill 2,PS2,2001,Action,Konami Digital Entertainment,1.28,89.0,8.9
Castlevania: Symphony of the Night,PS,1997,Platform,Konami Digital Entertainment,1.27,93.0,9.4
Guitar Hero: Aerosmith,Wii,2008,Misc,Activision,1.27,73.0,7.2
The LEGO Movie Videogame,X360,2014,Action,Warner Bros. Interactive Entertainment,1.27,69.0,7.2
The Sims 2: Nightlife,PC,2005,Simulation,Electronic Arts,1.27,76.0,6.6
Dark Souls II,PS3,2014,Role-Playing,Namco Bandai Games,1.27,91.0,8.1
Kid Icarus: Uprising,3DS,2012,Action,Nintendo,1.27,83.0,8.7
Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012,Role-Playing,Nintendo,1.27,59.0,6.3
LEGO Batman: The Videogame,PS2,2008,Action,Warner Bros. Interactive Entertainment,1.27,77.0,8.9
NBA 2K9,X360,2008,Sports,Take-Two Interactive,1.27,84.0,7.2
Tony Hawk's Underground,XB,2003,Sports,Activision,1.27,85.0,9.1
Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,Konami Digital Entertainment,1.27,75.0,6.2
.hack//Infection Part 1,PS2,2002,Role-Playing,Atari,1.27,75.0,8.5
Jillian Michaels' Fitness Ultimatum 2009,Wii,2008,Sports,Deep Silver,1.27,30.0,2.0
Valkyria Chronicles,PS3,2008,Role-Playing,Sega,1.27,86.0,8.6
WWE '12,X360,2011,Fighting,THQ,1.27,71.0,6.3
Sonic Adventure DX: Director's Cut,GC,2003,Platform,Sega,1.27,57.0,7.9
Battle Arena Toshinden,PS,1994,Fighting,Sony Computer Entertainment,1.27,69.0,6.3
WWE '13,X360,2012,Action,THQ,1.27,78.0,8.0
Final Fantasy X / X-2 HD Remaster,PS3,2013,Role-Playing,Square Enix,1.27,85.0,8.5
Need for Speed Rivals,PS3,2013,Racing,Electronic Arts,1.27,80.0,4.9
EA Sports Active 2,Wii,2010,Sports,Electronic Arts,1.26,79.0,8.1
Rockstar Games presents Table Tennis,Wii,2007,Sports,Take-Two Interactive,1.26,68.0,5.8
Football Manager 2011,PC,2010,Sports,Sega,1.26,85.0,8.4
Tamagotchi Connection: Corner Shop,DS,2005,Simulation,Atari,1.26,59.0,7.7
Tomb Raider: Underworld,PS3,2008,Action,Eidos Interactive,1.26,75.0,7.2
LEGO Battles,DS,2009,Strategy,Warner Bros. Interactive Entertainment,1.25,65.0,8.9
NBA Live 2001,PS,2000,Sports,Electronic Arts,1.25,86.0,8.0
Saints Row IV,PS3,2013,Action,Deep Silver,1.25,76.0,6.3
Star Wars: The Force Unleashed,PS2,2008,Action,LucasArts,1.25,68.0,7.4
SOCOM: U.S. Navy SEALs Confrontation,PS3,2008,Shooter,Sony Computer Entertainment,1.25,63.0,6.9
Need for Speed: Most Wanted,X360,2005,Racing,Electronic Arts,1.25,83.0,8.5
Pokemon XD: Gale of Darkness,GC,2005,Role-Playing,Nintendo,1.25,64.0,8.3
Black,PS2,2006,Shooter,Electronic Arts,1.25,79.0,8.4
Tom Clancy's Rainbow Six: Vegas,PS3,2007,Shooter,Ubisoft,1.25,86.0,7.6
LittleBigPlanet PS Vita,PSV,2012,Platform,Sony Computer Entertainment,1.25,88.0,8.6
Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,Nintendo,1.25,69.0,8.8
RollerCoaster Tycoon 2,PC,2002,Strategy,Atari,1.25,74.0,8.5
Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003,Action,Eidos Interactive,1.25,52.0,6.2
Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,2004,Action,Ubisoft,1.25,87.0,8.6
Ratchet: Deadlocked,PS2,2005,Shooter,Sony Computer Entertainment,1.24,81.0,8.9
Winter Sports: The Ultimate Challenge,Wii,2007,Sports,RTL,1.24,52.0,6.8
Baldur's Gate: Dark Alliance,PS2,2001,Role-Playing,Virgin Interactive,1.24,87.0,8.3
Oddworld: Abe's Oddysee,PS,1997,Platform,GT Interactive,1.24,85.0,9.0
Ridge Racer V,PS2,2000,Action,Namco Bandai Games,1.24,78.0,7.7
WWE SmackDown vs. Raw 2009,PS2,2008,Fighting,THQ,1.24,78.0,6.9
Star Wars Episode III: Revenge of the Sith,XB,2005,Action,Activision,1.24,61.0,8.1
[Prototype],PS3,2009,Action,Activision,1.24,79.0,7.7
FIFA Street,PS3,2012,Sports,Electronic Arts,1.23,76.0,6.4
Frogger: The Great Quest,PS2,2001,Platform,Konami Digital Entertainment,1.23,32.0,4.6
Madden NFL 17,XOne,2016,Sports,Electronic Arts,1.23,83.0,5.9
Ninja Gaiden,XB,2004,Action,Microsoft Game Studios,1.23,91.0,8.8
Crash Bandicoot: The Wrath of Cortex,XB,2002,Platform,Universal Interactive,1.23,70.0,8.1
Driv3r,PS2,2004,Racing,Atari,1.23,57.0,5.5
Assassin's Creed: Bloodlines,PSP,2009,Action,Ubisoft,1.23,63.0,7.2
LEGO The Lord of the Rings,X360,2012,Action,Warner Bros. Interactive Entertainment,1.23,80.0,8.5
Hyrule Warriors,WiiU,2014,Action,Nintendo,1.23,76.0,8.3
Donkey Kong Country 2,GBA,2004,Platform,Nintendo,1.23,80.0,9.1
Guitar Hero: Aerosmith,X360,2008,Misc,Activision,1.23,70.0,6.7
Need for Speed Carbon,PS3,2006,Racing,Electronic Arts,1.23,75.0,7.3
Ben 10: Protector of Earth,Wii,2007,Action,D3Publisher,1.23,63.0,7.7
2010 FIFA World Cup South Africa,PS3,2010,Sports,Electronic Arts,1.23,82.0,7.8
Tales of Xillia,PS3,2011,Role-Playing,Namco Bandai Games,1.22,78.0,8.2
Diddy Kong Racing DS,DS,2007,Racing,Nintendo,1.22,63.0,7.5
Mario Power Tennis,GC,2004,Sports,Nintendo,1.22,80.0,8.5
Golden Sun: The Lost Age,GBA,2002,Role-Playing,Nintendo,1.22,86.0,9.5
Max Payne,XB,2001,Shooter,Take-Two Interactive,1.22,89.0,8.3
NBA 2K2,PS2,2002,Sports,Sega,1.22,89.0,7.8
Cars,PS2,2006,Racing,THQ,1.21,71.0,8.4
Fuzion Frenzy,XB,2001,Misc,Microsoft Game Studios,1.21,70.0,6.9
Call of Duty: Finest Hour,XB,2004,Shooter,Activision,1.21,73.0,7.8
Final Fantasy IV,DS,2007,Simulation,Square Enix,1.21,85.0,7.7
Star Wars: Battlefront II,PSP,2005,Shooter,LucasArts,1.21,69.0,8.5
Super Street Fighter IV: 3D Edition,3DS,2011,Fighting,Capcom,1.21,85.0,8.1
Sly Cooper and the Thievius Raccoonus,PS2,2002,Platform,Sony Computer Entertainment,1.21,86.0,8.6
WWE 2K16,PS4,2015,Sports,Take-Two Interactive,1.21,73.0,7.4
Dino Crisis 2,PS,2000,Action,Virgin Interactive,1.21,86.0,9.0
Need for Speed Underground,GC,2003,Racing,Electronic Arts,1.21,83.0,9.0
Naruto Shippuden: Ultimate Ninja Storm 2,PS3,2010,Fighting,Namco Bandai Games,1.21,76.0,8.3
Medal of Honor: Airborne,PS3,2007,Shooter,Electronic Arts,1.21,75.0,7.6
Battlefield: Hardline,XOne,2015,Shooter,Electronic Arts,1.21,71.0,5.1
Bayonetta,PS3,2009,Action,Sega,1.21,87.0,7.7
Boom Blox,Wii,2008,Puzzle,Electronic Arts,1.21,85.0,8.6
The Lord of the Rings: The Fellowship of the Ring,PS2,2002,Action,Black Label Games,1.2,59.0,5.1
The Sims 2: Castaway,Wii,2007,Simulation,Electronic Arts,1.2,73.0,8.2
ATV Offroad Fury 3,PS2,2004,Racing,SouthPeak Games,1.2,78.0,8.4
F1 2011,PS3,2011,Racing,Codemasters,1.2,82.0,7.1
Pikmin 2,GC,2004,Strategy,Nintendo,1.2,90.0,9.1
Enter the Matrix,XB,2003,Action,Atari,1.2,65.0,7.1
Cars,PSP,2006,Racing,THQ,1.2,70.0,7.0
NHL 2002,PS2,2001,Sports,Electronic Arts,1.2,92.0,8.5
FIFA Soccer 11,PSP,2010,Sports,Electronic Arts,1.2,68.0,5.4
The Simpsons: Road Rage,GBA,2003,Racing,THQ,1.19,55.0,6.8
LEGO Batman 2: DC Super Heroes,PS3,2012,Action,Warner Bros. Interactive Entertainment,1.19,81.0,7.5
Captain Toad: Treasure Tracker,WiiU,2014,Puzzle,Nintendo,1.19,81.0,8.6
SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,2002,Platform,THQ,1.19,71.0,7.7
Pro Evolution Soccer 2008,Wii,2008,Sports,Konami Digital Entertainment,1.19,83.0,8.4
Destiny: The Taken King,XOne,2015,Shooter,Activision,1.19,89.0,5.2
Scarface: The World is Yours,PS2,2006,Action,Vivendi Games,1.19,75.0,8.6
WWE SmackDown vs Raw 2008,PSP,2007,Fighting,THQ,1.19,68.0,7.8
Spider-Man: The Movie,GC,2002,Action,Activision,1.19,76.0,7.3
Mario vs. Donkey Kong 2: March of the Minis,DS,2006,Puzzle,Nintendo,1.19,76.0,7.9
Metal Gear Solid: Portable Ops,PSP,2006,Action,Konami Digital Entertainment,1.18,87.0,8.2
Injustice: Gods Among Us,PS3,2013,Fighting,Warner Bros. Interactive Entertainment,1.18,78.0,7.9
Shenmue,DC,1999,Adventure,Sega,1.18,88.0,9.4
Just Dance 4,X360,2012,Misc,Ubisoft,1.18,77.0,7.7
Tony Hawk's Pro Skater 2,GBA,2001,Sports,Activision,1.18,95.0,7.5
One Piece: Pirate Warriors,PS3,2012,Action,Namco Bandai Games,1.18,64.0,6.5
Gun,PS2,2005,Shooter,Activision,1.17,77.0,8.7
Ty the Tasmanian Tiger,PS2,2002,Platform,Electronic Arts,1.17,70.0,8.8
Resident Evil: Operation Raccoon City,PS3,2012,Action,Capcom,1.17,52.0,4.9
LEGO Indiana Jones: The Original Adventures,PSP,2008,Action,LucasArts,1.17,76.0,7.6
PokéPark Wii: Pikachu's Adventure,Wii,2009,Adventure,Nintendo,1.17,62.0,7.2
WWE '12,PS3,2011,Fighting,THQ,1.17,72.0,6.9
Cabela's Dangerous Hunts,PS2,2003,Sports,Zoo Digital Publishing,1.17,57.0,8.4
Grand Theft Auto V,PC,2015,Action,Take-Two Interactive,1.17,96.0,7.9
Fallout: New Vegas,PC,2010,Role-Playing,Bethesda Softworks,1.17,84.0,8.6
WWE SmackDown vs. Raw 2010,PS3,2009,Fighting,THQ,1.17,81.0,8.1
Medal of Honor: Rising Sun,XB,2003,Shooter,Electronic Arts,1.17,65.0,5.8
Army of Two,PS3,2008,Shooter,Electronic Arts,1.17,74.0,7.3
Spore,PC,2008,Strategy,Electronic Arts,1.17,84.0,5.3
Mario vs. Donkey Kong,GBA,2004,Puzzle,Nintendo,1.17,81.0,8.0
LEGO Star Wars III: The Clone Wars,PS3,2011,Action,LucasArts,1.16,76.0,7.3
Midnight Club 3: DUB Edition Remix,PS2,2006,Racing,Take-Two Interactive,1.16,85.0,8.9
Tom Clancy's Ghost Recon: Jungle Storm,PS2,2004,Shooter,Ubisoft,1.16,70.0,6.3
Bushido Blade,PS,1997,Fighting,Sony Computer Entertainment,1.16,83.0,7.9
Mirror's Edge,X360,2008,Platform,Electronic Arts,1.16,79.0,7.6
Sonic the Hedgehog,PS3,2006,Platform,Sega,1.16,43.0,4.1
NASCAR Thunder 2002,PS2,2001,Racing,Electronic Arts,1.16,85.0,8.5
Your Shape: Fitness Evolved 2012,X360,2011,Sports,Ubisoft,1.16,77.0,7.6
FIFA 14,XOne,2013,Sports,Electronic Arts,1.16,88.0,5.8
Final Fantasy Tactics: The War of the Lions,PSP,2007,Role-Playing,Square Enix,1.16,88.0,8.0
Sniper: Ghost Warrior,X360,2010,Shooter,City Interactive,1.16,45.0,5.8
Sonic Rush Adventure,DS,2007,Platform,Sega,1.15,78.0,8.2
Worldwide Soccer Manager 2009,PC,2008,Simulation,Sega,1.15,83.0,8.1
Gauntlet: Dark Legacy,PS2,2001,Action,Midway Games,1.15,73.0,8.3
Medal of Honor Heroes 2,PSP,2007,Shooter,Electronic Arts,1.15,69.0,7.3
Bad Boys: Miami Takedown,PS2,2004,Shooter,Empire Interactive,1.15,43.0,3.4
Medal of Honor: Warfighter,X360,2012,Action,Electronic Arts,1.15,53.0,5.4
FIFA Soccer 10,PSP,2009,Sports,Electronic Arts,1.15,83.0,7.9
Donkey Konga,GC,2003,Misc,Nintendo,1.15,76.0,8.3
Call of Duty 4: Modern Warfare,PC,2007,Shooter,Activision,1.15,92.0,8.5
Tak and the Power of Juju,PS2,2003,Platform,THQ,1.15,68.0,9.0
WWE 2K15,PS4,2014,Sports,Take-Two Interactive,1.15,62.0,5.1
Tenchu: Wrath of Heaven,PS2,2003,Action,Activision,1.14,79.0,8.4
Shadow of the Colossus,PS2,2005,Action,Sony Computer Entertainment,1.14,91.0,9.1
Brave Fencer Musashi,PS,1998,Role-Playing,SquareSoft,1.14,81.0,8.5
Ninja Gaiden Sigma,PS3,2007,Action,Eidos Interactive,1.14,88.0,7.5
WWE 2K14,PS3,2013,Sports,Take-Two Interactive,1.14,74.0,7.5
Pokemon Rumble Blast,3DS,2011,Action,Nintendo,1.14,56.0,7.1
007: Quantum of Solace,PS3,2008,Action,Activision,1.14,65.0,6.6
Dance Dance Revolution Extreme 2,PS2,2005,Simulation,Konami Digital Entertainment,1.14,76.0,9.0
The Lord of the Rings: The Return of the King,XB,2003,Action,Electronic Arts,1.14,84.0,9.1
Hot Shots Golf: Out of Bounds,PS3,2007,Sports,Sony Computer Entertainment,1.14,81.0,8.8
Sunset Overdrive,XOne,2014,Shooter,Microsoft Game Studios,1.14,81.0,7.7
Mobile Suit Gundam: Federation vs. Zeon,PS2,2001,Simulation,Atari,1.14,73.0,8.8
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games,1.14,79.0,8.2
MechAssault,XB,2002,Simulation,Microsoft Game Studios,1.13,87.0,8.0
Cars,GBA,2006,Racing,THQ,1.13,50.0,4.7
Watch Dogs 2,PS4,2016,Action,Ubisoft,1.13,83.0,7.8
LEGO Star Wars III: The Clone Wars,3DS,2011,Action,LucasArts,1.13,67.0,6.1
Tom Clancy's Rainbow Six 3: Black Arrow,XB,2004,Shooter,Ubisoft,1.13,84.0,8.6
Mirror's Edge,PS3,2008,Platform,Electronic Arts,1.13,79.0,7.8
Guitar Hero 5,X360,2009,Misc,Activision,1.13,85.0,6.8
Alien: Isolation,PS4,2014,Shooter,Sega,1.13,79.0,8.1
Fantasy Life,3DS,2012,Role-Playing,Nintendo,1.13,73.0,8.6
SingStar,PS3,2007,Misc,Sony Computer Entertainment,1.13,82.0,5.9
The Legend of Zelda: Tri Force Heroes,3DS,2015,Action,Nintendo,1.12,73.0,7.6
Supercar Street Challenge,PS2,2001,Racing,Activision,1.12,57.0,7.6
Rabbids Go Home,Wii,2009,Platform,Ubisoft,1.12,78.0,8.3
ModNation Racers,PS3,2010,Racing,Sony Computer Entertainment,1.12,82.0,8.4
SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,2005,Shooter,Sony Computer Entertainment,1.12,82.0,8.6
Rocksmith,PS3,2011,Misc,Ubisoft,1.12,80.0,8.3
Call Of Duty 2: Big Red One,XB,2005,Shooter,Activision,1.12,78.0,5.1
Rocksmith,X360,2011,Misc,Ubisoft,1.12,77.0,8.2
Guitar Hero 5,PS2,2009,Misc,Activision,1.12,71.0,2.6
Worldwide Soccer Manager 2008,PC,2007,Sports,Russel,1.12,86.0,8.0
Yakuza 3,PS3,2009,Action,Sega,1.12,79.0,8.1
Persona 4: Golden,PSV,2012,Role-Playing,Atlus,1.12,93.0,9.2
Spider-Man 2,XB,2004,Action,Activision,1.12,83.0,8.3
Crackdown 2,X360,2010,Shooter,Microsoft Game Studios,1.12,70.0,6.0
The Beatles: Rock Band,PS3,2009,Misc,MTV Games,1.12,88.0,8.7
Dragon Age II,X360,2011,Action,Electronic Arts,1.11,79.0,4.5
Counter-Strike,XB,2003,Shooter,Microsoft Game Studios,1.11,74.0,7.6
Guitar Hero Encore: Rocks The 80s,PS2,2007,Misc,RedOctane,1.11,69.0,6.3
Fight Night Champion,PS3,2011,Fighting,Electronic Arts,1.11,84.0,7.3
Tom Clancy's Splinter Cell: Chaos Theory,XB,2005,Action,Ubisoft,1.11,94.0,9.0
Pikmin 3,WiiU,2013,Strategy,Nintendo,1.11,87.0,8.7
WWE 2K14,X360,2013,Sports,Take-Two Interactive,1.11,75.0,7.7
Dragon Ball: XenoVerse,PS4,2015,Fighting,Namco Bandai Games,1.11,69.0,7.7
Castlevania: Lords of Shadow,PS3,2010,Action,Konami Digital Entertainment,1.1,85.0,8.0
Plants vs. Zombies,DS,2011,Strategy,Mastertronic,1.1,81.0,7.4
Tales of Symphonia,GC,2003,Role-Playing,Nintendo,1.1,86.0,8.5
LEGO City Undercover,WiiU,2013,Platform,Nintendo,1.1,80.0,8.2
Need for Speed: ProStreet,Wii,2007,Racing,Electronic Arts,1.1,61.0,6.9
GRID,PS3,2008,Racing,Codemasters,1.1,87.0,8.1
Medal of Honor: Airborne,X360,2007,Shooter,Electronic Arts,1.1,73.0,6.7
Star Ocean: The Second Story,PS,1998,Role-Playing,Sony Computer Entertainment,1.1,80.0,8.5
NCAA Football 14,X360,2013,Sports,Electronic Arts,1.09,77.0,5.8
Yakuza 2,PS2,2006,Adventure,Sega,1.09,77.0,8.1
Guitar Hero 5,PS3,2009,Misc,Activision,1.09,86.0,5.7
Dragon Ball Z: The Legacy of Goku II,GBA,2003,Role-Playing,Atari,1.09,75.0,8.9
NERF N-Strike,Wii,2008,Shooter,Electronic Arts,1.09,66.0,4.4
NFL 2K1,DC,2000,Sports,Sega,1.09,97.0,6.0
Untold Legends: Brotherhood of the Blade,PSP,2005,Role-Playing,Activision,1.09,68.0,7.6
Project CARS,PS4,2015,Racing,Slightly Mad Studios,1.09,83.0,6.6
Madden NFL 2004,XB,2003,Sports,Electronic Arts,1.09,92.0,8.3
Sonic and the Black Knight,Wii,2009,Platform,Sega,1.09,54.0,6.9
The Godfather,PS2,2006,Action,Electronic Arts,1.09,75.0,8.3
Sonic Free Riders,X360,2010,Racing,Sega,1.09,47.0,2.1
Star Wars: Bounty Hunter,PS2,2002,Shooter,LucasArts,1.09,65.0,8.3
WWE SmackDown vs. Raw 2011,PS3,2010,Fighting,THQ,1.09,74.0,6.9
NCAA Football 13,X360,2012,Action,Electronic Arts,1.09,76.0,5.5
Skate 2,X360,2009,Sports,Electronic Arts,1.09,84.0,8.0
NASCAR Thunder 2004,PS2,2003,Racing,Electronic Arts,1.08,88.0,8.9
Namco Museum Battle Collection,PSP,2005,Misc,Sony Computer Entertainment,1.08,73.0,7.2
Empire: Total War,PC,2009,Strategy,Sega,1.08,90.0,6.9
Virtua Fighter 5,PS3,2007,Fighting,Sega,1.08,85.0,7.4
Dante's Inferno,PS3,2010,Action,Electronic Arts,1.08,75.0,7.5
Tom Clancy's Ghost Recon 2,PS2,2004,Shooter,Ubisoft,1.08,58.0,6.0
Forza Horizon 3,XOne,2016,Racing,Microsoft Game Studios,1.08,91.0,7.4
Star Wars: The Force Unleashed,PSP,2008,Action,LucasArts,1.08,70.0,8.1
Dragon Ball Z: Taiketsu,GBA,2003,Fighting,Atari,1.08,40.0,6.1
Star Fox: Assault,GC,2005,Shooter,Nintendo,1.08,67.0,8.1
Plants vs. Zombies: Garden Warfare,X360,2014,Shooter,Electronic Arts,1.08,69.0,7.3
The Simpsons Game,PSP,2007,Action,Electronic Arts,1.07,59.0,6.7
LEGO Star Wars II: The Original Trilogy,DS,2006,Action,LucasArts,1.07,47.0,5.0
Call of Duty 3,PS2,2006,Shooter,Activision,1.07,82.0,7.4
FIFA Soccer 11,Wii,2010,Sports,Electronic Arts,1.07,73.0,7.3
Prince of Persia,PS3,2008,Action,Ubisoft,1.07,85.0,7.3
Tomb Raider: Underworld,X360,2008,Action,Eidos Interactive,1.07,76.0,6.6
Pro Evolution Soccer 2008,X360,2007,Sports,Konami Digital Entertainment,1.07,76.0,7.8
SoulCalibur III,PS2,2005,Fighting,Namco Bandai Games,1.07,86.0,8.4
Tiger Woods PGA Tour 10,Wii,2009,Sports,Electronic Arts,1.07,88.0,8.8
World Tour Soccer,PSP,2005,Sports,Sony Computer Entertainment,1.07,70.0,5.6
Naruto: Ultimate Ninja Storm,PS3,2008,Fighting,Namco Bandai Games,1.07,75.0,8.6
Lightning Returns: Final Fantasy XIII,PS3,2013,Role-Playing,Square Enix,1.07,66.0,5.9
Mortal Kombat: Armageddon,PS2,2006,Fighting,Midway Games,1.06,75.0,8.5
Freekstyle,PS2,2002,Racing,Electronic Arts,1.06,81.0,7.3
Grand Theft Auto: Chinatown Wars,PSP,2009,Action,Take-Two Interactive,1.06,90.0,7.3
Spore Creatures,DS,2008,Simulation,Electronic Arts,1.06,65.0,6.5
The Orange Box,PS3,2007,Shooter,Electronic Arts,1.06,89.0,8.4
DJ Hero,X360,2009,Misc,Activision,1.06,84.0,8.0
Bully: Scholarship Edition,X360,2008,Action,Take-Two Interactive,1.06,80.0,8.3
NBA Street V3,PS2,2005,Sports,Electronic Arts,1.06,89.0,8.7
Hulk,PS2,2003,Action,Universal Interactive,1.06,71.0,8.3
Overwatch,XOne,2016,Shooter,Activision,1.06,91.0,5.6
Aliens vs Predator,X360,2010,Shooter,Sega,1.06,64.0,7.3
Skylanders Giants,PS3,2012,Action,Activision,1.06,77.0,6.3
Diablo II: Lord of Destruction,PC,2001,Role-Playing,Vivendi Games,1.06,87.0,9.1
Endless Ocean,Wii,2007,Adventure,Nintendo,1.06,72.0,8.1
Spider-Man 2,GBA,2004,Action,Activision,1.06,65.0,7.7
Seek and Destroy,PS2,2002,Racing,Play It,1.06,63.0,8.8
Darksiders,X360,2010,Action,THQ,1.06,83.0,7.9
Mercenaries 2: World in Flames,X360,2008,Shooter,Electronic Arts,1.06,72.0,7.2
Warhawk,PS3,2007,Simulation,Sony Computer Entertainment,1.06,84.0,8.4
DiRT 3,PS3,2011,Racing,Codemasters,1.06,87.0,7.1
Sega Superstars Tennis,Wii,2008,Sports,Sega,1.05,71.0,7.0
DiRT,PS3,2007,Racing,Codemasters,1.05,83.0,8.0
Call of Duty 4: Modern Warfare,DS,2007,Shooter,Activision,1.05,75.0,6.9
Resident Evil: The Darkside Chronicles,Wii,2009,Action,Capcom,1.05,75.0,8.0
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2006,Shooter,Sony Computer Entertainment,1.05,81.0,9.0
NBA 2K3,PS2,2002,Sports,Sega,1.05,89.0,8.0
LEGO The Lord of the Rings,PS3,2012,Action,Warner Bros. Interactive Entertainment,1.05,82.0,8.3
The Simpsons: Road Rage,XB,2001,Racing,Electronic Arts,1.05,61.0,8.3
Dave Mirra Freestyle BMX,PS,2000,Sports,Acclaim Entertainment,1.05,82.0,8.4
EA Sports UFC,PS4,2014,Sports,Electronic Arts,1.05,70.0,6.1
Forza Motorsport,XB,2005,Racing,Microsoft Game Studios,1.05,92.0,7.6
Virtua Tennis 3,PS3,2007,Sports,Sega,1.05,80.0,7.9
MVP Baseball 2003,PS2,2003,Sports,Electronic Arts,1.04,81.0,8.9
WWE SmackDown vs. Raw 2010,X360,2009,Fighting,THQ,1.04,80.0,8.4
Sleeping Dogs,PS3,2012,Action,Square Enix,1.04,83.0,7.7
Naruto: Clash of Ninja 2,GC,2003,Fighting,Nintendo,1.04,74.0,8.9
Dance Dance Revolution SuperNOVA,PS2,2006,Simulation,Konami Digital Entertainment,1.04,73.0,8.7
Aliens vs Predator,PS3,2010,Shooter,Sega,1.04,65.0,7.3
F-Zero: Maximum Velocity,GBA,2001,Racing,Nintendo,1.04,86.0,8.5
Sonic the Hedgehog,X360,2006,Platform,Sega,1.04,46.0,4.4
Need for Speed: Most Wanted,XB,2005,Racing,Electronic Arts,1.04,83.0,8.8
The Simpsons Game,X360,2007,Action,Electronic Arts,1.03,71.0,7.7
F1 2012,PS3,2012,Racing,Codemasters,1.03,81.0,7.5
Brink,X360,2011,Shooter,Bethesda Softworks,1.03,68.0,5.8
MX vs. ATV Unleashed,PS2,2005,Racing,THQ,1.03,79.0,8.4
WipEout Pure,PSP,2005,Racing,Sony Computer Entertainment,1.03,88.0,7.9
UFC Undisputed 3,PS3,2012,Action,THQ,1.03,86.0,7.4
LEGO Pirates of the Caribbean: The Video Game,X360,2011,Action,Disney Interactive Studios,1.03,73.0,7.0
Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,2007,Shooter,Ubisoft,1.03,84.0,8.1
Super Princess Peach,DS,2005,Platform,Nintendo,1.03,75.0,7.6
Guinness World Records: The Videogame,Wii,2008,Action,Warner Bros. Interactive Entertainment,1.03,67.0,7.0
NCAA March Madness 2004,PS2,2003,Sports,Electronic Arts,1.03,82.0,8.8
The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,Nintendo,1.03,86.0,8.4
LEGO Indiana Jones: The Original Adventures,PS3,2008,Action,Activision,1.03,77.0,7.7
Tomb Raider,PC,1996,Action,Eidos Interactive,1.03,86.0,8.5
Street Fighter Alpha 3,PS,1998,Fighting,Virgin Interactive,1.03,93.0,8.5
MySims Agents,Wii,2009,Adventure,Electronic Arts,1.03,78.0,8.6
MotorStorm: Arctic Edge,PSP,2009,Racing,Sony Computer Entertainment,1.02,79.0,8.8
FIFA Soccer 08,Wii,2007,Sports,Electronic Arts,1.02,65.0,6.1
Tiger Woods PGA Tour 08,Wii,2007,Sports,Electronic Arts,1.02,72.0,7.0
Dragon Ball Z: Budokai Tenkaichi 3,Wii,2007,Fighting,Atari,1.02,72.0,8.4
Shrek 2,GC,2004,Platform,Activision,1.02,70.0,6.4
NBA 2K17,XOne,2016,Sports,Take-Two Interactive,1.02,90.0,6.2
Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,2007,Shooter,Ubisoft,1.02,86.0,8.1
Sonic Unleashed,PS3,2008,Platform,Sega,1.02,54.0,7.9
Disney Universe,Wii,2011,Action,Disney Interactive Studios,1.02,61.0,6.0
Dance on Broadway,Wii,2010,Misc,Ubisoft,1.02,48.0,3.3
LEGO Indiana Jones 2: The Adventure Continues,X360,2009,Action,Activision,1.02,71.0,7.4
Bulletstorm,X360,2011,Shooter,Electronic Arts,1.02,84.0,7.6
Skylanders SWAP Force,PS3,2013,Platform,Activision,1.02,83.0,5.3
